sav,val,W,P,W_minus_P,mean_vrr,std_vrr,site
b_19_5,0.8334026622296173,19,5,14,0.09154429394186306,0.049884628430423975,Sagvar
b_19_6,0.8589850249584027,19,6,13,0.05007459112166727,0.031122008922999145,Sagvar
b_19_7,0.8589850249584027,19,7,12,0.05007459112269547,0.03112200892311347,Sagvar
b_19_8,0.8658485856905158,19,8,11,0.02586299500464617,0.017009594213212575,Sagvar
b_19_9,0.8658485856905158,19,9,10,0.0258629949688373,0.017009594201079156,Sagvar
b_3_1,0.8394342762063228,3,1,2,0.022177145873402873,0.01052178547223847,Sagvar
b_5_1,0.8849833610648918,5,1,4,0.06054092979875445,0.027855766346693917,Sagvar
b_5_2,0.8666805324459235,5,2,3,0.005393726931729035,0.0031307578275930983,Sagvar
b_5_3,0.8666805324459235,5,3,2,0.005393726931729035,0.0031307578275930983,Sagvar
b_7_1,0.8236272878535774,7,1,6,0.09915148493501846,0.042948406974565305,Sagvar
b_7_2,0.8658485856905158,7,2,5,0.022057860772082074,0.013228940274150367,Sagvar
b_7_3,0.8658485856905158,7,3,4,0.02205786077208202,0.013228940274150445,Sagvar
b_7_4,0.8656405990016639,7,4,3,0.0016037454985442158,0.0009057560954023643,Sagvar
b_7_5,0.8656405990016639,7,5,2,0.0016037454985425058,0.0009057560954023751,Sagvar
b_9_1,0.8569051580698835,9,1,8,0.13245227506499666,0.05378976828950841,Sagvar
b_9_2,0.8785357737104825,9,2,7,0.04437060496346006,0.025320439815370212,Sagvar
b_9_3,0.8785357737104825,9,3,6,0.04437060496345751,0.025320439815370237,Sagvar
b_9_4,0.8777038269550749,9,4,5,0.010466907266335774,0.006993226033535032,Sagvar
b_9_5,0.8777038269550749,9,5,4,0.010466907266340034,0.006993226033534597,Sagvar
b_9_6,0.8712562396006656,9,6,3,0.00031423184523368946,0.0008887818745198379,Sagvar
b_9_7,0.8712562396006656,9,7,2,0.00031423184523473354,0.0008887818745209672,Sagvar
original,0.8425886373344724,0,0,0,0.0,0.0,Sagvar
b_11_1,0.8716381418092909,11,1,10,0.3832147824234421,0.049907997264562125,Gemenc
b_11_2,0.9474327628361858,11,2,9,0.18676098711955255,0.06182009386035267,Gemenc
b_11_3,0.9474327628361858,11,3,8,0.18676098711955233,0.06182009386035284,Gemenc
b_11_4,0.9193154034229828,11,4,7,0.05796209985145825,0.03141623599512112,Gemenc
b_11_5,0.9193154034229828,11,5,6,0.0579620998514612,0.03141623599512009,Gemenc
b_11_6,0.9070904645476772,11,6,5,0.010699754006621254,0.008316797780528396,Gemenc
b_11_7,0.9070904645476772,11,7,4,0.010699754006764341,0.008316797780546802,Gemenc
b_11_8,0.8887530562347188,11,8,3,-0.001124495132257379,0.0011290141647237414,Gemenc
b_11_9,0.8887530562347188,11,9,2,-0.0011244951144149258,0.0011290141704443668,Gemenc
b_13_1,0.7701711491442543,13,1,12,0.4183202814842947,0.04303864534120341,Gemenc
b_13_10,0.8887530562347188,13,10,3,-0.0019629715363712135,0.0019459351124259182,Gemenc
b_13_11,0.8887530562347188,13,11,2,-0.001962970727718632,0.0019459349813284207,Gemenc
b_13_2,0.9229828850855746,13,2,11,0.2514720239814925,0.06764072097295505,Gemenc
b_13_3,0.9229828850855746,13,3,10,0.2514720239814924,0.06764072097295507,Gemenc
b_13_4,0.9425427872860636,13,4,9,0.10452332210079232,0.048883279725155895,Gemenc
b_13_5,0.9425427872860636,13,5,8,0.10452332210080524,0.04888327972515261,Gemenc
b_13_6,0.9083129584352078,13,6,7,0.030780338335342678,0.020781393436171667,Gemenc
b_13_7,0.9083129584352078,13,7,6,0.030780338335578757,0.020781393436501615,Gemenc
b_13_8,0.904645476772616,13,8,5,0.0050730809471957895,0.0049076224993720025,Gemenc
b_13_9,0.904645476772616,13,9,4,0.005073080918999521,0.004907622490106028,Gemenc
b_15_1,0.815403422982885,15,1,14,0.43921432315307574,0.038073872672768364,Gemenc
b_15_10,0.9058679706601466,15,10,5,0.0021906908816668133,0.0026595644582811536,Gemenc
b_15_11,0.9058679706601466,15,11,4,0.0021906879703523182,0.0026595626064330725,Gemenc
b_15_12,0.8875305623471883,15,12,3,-0.00253730135300339,0.0023917644250065575,Gemenc
b_15_13,0.8875305623471883,15,13,2,-0.002537200179584069,0.0023916549826326753,Gemenc
b_15_2,0.9119804400977995,15,2,13,0.3055786240581016,0.06596743862904836,Gemenc
b_15_3,0.9119804400977995,15,3,12,0.3055786240581016,0.06596743862904836,Gemenc
b_15_4,0.932762836185819,15,4,11,0.15630596010741868,0.062252107809162634,Gemenc
b_15_5,0.932762836185819,15,5,10,0.1563059601074147,0.06225210780916251,Gemenc
b_15_6,0.9168704156479216,15,6,9,0.060798235623974003,0.03538109155747596,Gemenc
b_15_7,0.9168704156479216,15,7,8,0.06079823562360256,0.03538109155728268,Gemenc
b_15_8,0.9070904645476772,15,8,7,0.017355992688585314,0.014175214961666687,Gemenc
b_15_9,0.9070904645476772,15,9,6,0.01735599264092575,0.01417521492189344,Gemenc
b_17_1,0.7762836185819071,17,1,16,0.45096113424294126,0.03677643052095434,Gemenc
b_17_10,0.89119804400978,17,10,7,0.009972507256997843,0.009954816517908307,Gemenc
b_17_11,0.89119804400978,17,11,6,0.009972527569594639,0.00995482182994706,Gemenc
b_17_12,0.8973105134474328,17,12,5,0.0006586267001712027,0.001326597430095674,Gemenc
